date,symbols,count
2023-01-31,600900.SH,1
2023-02-28,600900.SH,1
2023-03-31,,0
2023-04-28,"600900.SH,601166.SH",2
2023-05-31,600900.SH,1
2023-06-30,601166.SH,1
2023-07-31,"601166.SH,600900.SH",2
2023-08-31,600900.SH,1
2023-09-28,"601166.SH,600900.SH",2
2023-10-31,600900.SH,1
2023-11-30,"000002.SZ,600900.SH",2
