short_window,long_window,param_name,total_return,annual_return,sharpe_ratio,max_drawdown,final_value
5,10,MA5/MA10,0.729927425103073,0.20922634954857866,0.9607819326826222,-0.20875675373062286,172992.7425103073
10,30,MA10/MA30,0.4912699559242393,0.14857618421057506,0.6692022300828292,-0.22752560982226813,149126.99559242392
20,60,MA20/MA60,0.36511563137499903,0.11391943415663919,0.480528388242461,-0.16685245239894975,136511.5631374999
5,20,MA5/MA20,0.2627571076231161,0.08422767477210424,0.3088099491699584,-0.28070473318813044,126275.71076231162
10,20,MA10/MA20,0.11659353957173746,0.038967306236332266,0.05119803129120875,-0.2953654837337203,111659.35395717375
50,200,MA50/MA200,0.021036959807123612,0.007242499869831942,-0.15337038741249187,-0.27220719659415377,102103.69598071236
30,90,MA30/MA90,-0.11187158202810077,-0.040289700323770106,-0.4253163641108462,-0.3439256143615619,88812.84179718992
