symbol,start_date,end_date,return_pct
600900.SH,2024-06-28,2024-07-31,6.480117820324012
601318.SH,2024-07-31,2024-08-30,3.6722458156382682
300059.SZ,2024-07-31,2024-08-30,-3.0685920577617316
601318.SH,2024-08-30,2024-09-30,31.469879518072297
300750.SZ,2024-08-30,2024-09-30,38.039193602883195
002594.SZ,2024-08-30,2024-09-30,23.57614275238329
600276.SH,2024-08-30,2024-09-30,18.59776917823811
603288.SH,2024-08-30,2024-09-30,31.13154960981046
000333.SZ,2024-08-30,2024-09-30,18.459278602905165
002475.SZ,2024-08-30,2024-09-30,10.300866904640488
600031.SH,2024-08-30,2024-09-30,17.512690355329948
