symbol,trading_days,expected_days,missing_days,missing_ratio,missing_status,abnormal_price_days,abnormal_price_ratio,abnormal_price_status,zero_volume_days,zero_volume_ratio,zero_volume_status,missing_dates,abnormal_price_dates,zero_volume_dates,name,industry,sector,fundamentals_coverage,fundamentals_status,fundamentals_available,fundamentals_error
600031.SH,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],三一重工,周期,机械,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/600031SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cd9700>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
600036.SH,544,544,0,0.0,ok,1,0.001841620626151013,ok,0,0.0,ok,[],['2022-11-29'],[],招商银行,金融,银行,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/600036SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cce340>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
600276.SH,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],恒瑞医药,医药,化学制药,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/600276SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cce130>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
600309.SH,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],万华化学,周期,化工,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/600309SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cc3580>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
600519.SH,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],贵州茅台,消费,白酒,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/600519SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111a5eaf0>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
600900.SH,543,544,1,0.001838235294117647,ok,0,0.0,ok,0,0.0,ok,['2022-10-26'],[],[],长江电力,公用事业,电力,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/600900SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111ce1640>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
601012.SH,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],隆基绿能,新能源,光伏,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/601012SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111ca6850>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
601166.SH,544,544,0,0.0,ok,1,0.001841620626151013,ok,0,0.0,ok,[],['2023-12-29'],[],兴业银行,金融,银行,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/601166SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cc3b80>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
601318.SH,544,544,0,0.0,ok,1,0.001841620626151013,ok,0,0.0,ok,[],['2023-04-27'],[],中国平安,金融,保险,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/601318SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111ca6f70>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
603288.SH,544,544,0,0.0,ok,0,0.0,ok,0,0.0,ok,[],[],[],海天味业,消费,调味品,0.0,critical,"{'pe_ratio': False, 'pb_ratio': False, 'roe': False, 'revenue_growth': False, 'net_profit_growth': False}","HTTPSConnectionPool(host='money.finance.sina.com.cn', port=443): Max retries exceeded with url: /corp/go.php/vFD_FinancialGuideLine/stockid/603288SH/ctrl/2020/displaytype/4.phtml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111cd9640>: Failed to resolve 'money.finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
