symbol,status,overlap_days,max_abs_diff_close,mean_abs_diff_close,pct_diff_gt_0_05
601899.SH,ok,449,0.35999999999999943,0.13915367483296207,0.9309576837416481
600276.SH,ok,492,0.09000000000000341,0.023739837398374257,0.09959349593495935
000063.SZ,ok,449,0.38000000000000256,0.08917594654788423,0.5746102449888641
002230.SZ,ok,449,0.03999999999999915,0.009443207126948874,0.0
300124.SZ,ok,449,0.1600000000000037,0.04062360801781734,0.3051224944320713
601600.SH,ok,493,0.15000000000000036,0.03626774847870184,0.2231237322515213
002415.SZ,ok,449,0.21000000000000085,0.06169265033407571,0.5946547884187082
600031.SH,ok,492,0.3000000000000007,0.11036585365853659,0.7052845528455285
300059.SZ,ok,492,0.030000000000001137,0.011971544715447218,0.0
000725.SZ,ok,449,0.010000000000000675,0.0025612472160356256,0.0
601688.SH,ok,493,0.33999999999999986,0.13742393509127798,0.8012170385395537
300433.SZ,ok,493,0.40000000000000036,0.11365111561866129,0.5760649087221096
300136.SZ,ok,449,0.040000000000000924,0.006926503340757158,0.0
601088.SH,ok,492,1.7699999999999996,0.38219512195121963,0.8414634146341463
300014.SZ,ok,449,0.35999999999999943,0.12875278396436526,0.8329621380846325
603259.SH,ok,449,1.0300000000000011,0.3706013363028952,0.8485523385300668
002371.SZ,ok,449,0.5900000000000034,0.1561915367483312,0.6146993318485523
300832.SZ,ok,449,0.6599999999999966,0.16207126948775083,0.6904231625835189
002920.SZ,ok,492,0.5300000000000011,0.13396341463414638,0.5650406504065041
002466.SZ,ok,449,0.9099999999999966,0.12639198218262807,0.24498886414253898
